,Wind,Clouds,Humidity,Country,Data,Temperture,Latitude,Longitude,City
193,5.19,97,70,CO,1603130817,85.42,9.5,-73.98,boa vista
194,17.09,4,79,SO,1603130556,80.22,5.35,48.53,boa vista
195,20.62,100,75,BS,1603130817,81.73,24.9,-76.2,boa vista
196,10.47,0,37,KZ,1603130817,55.17,48.83,58.14,boa vista
197,5.82,90,93,AU,1603130817,60.01,-32.72,152.15,boa vista
198,10.83,98,83,RU,1603130810,35.42,68.05,39.51,boa vista
199,13.44,0,81,NA,1603130818,59.04,-28.55,16.43,boa vista
200,1.28,32,94,AU,1603130818,68.0,-17.0,145.43,boa vista
201,4.36,90,75,US,1603130818,48.0,42.6,-84.38,boa vista
202,3.49,100,97,RU,1603130818,25.11,54.05,122.9,boa vista
203,5.82,75,93,JP,1603130818,54.0,35.73,140.83,boa vista
204,12.88,0,14,MR,1603130630,91.44,20.5,-10.07,boa vista
205,4.7,90,93,US,1603130819,57.2,34.64,-120.46,boa vista
206,3.0,43,82,AU,1603130819,50.0,-41.07,145.92,boa vista
207,4.05,7,97,RU,1603130646,28.53,46.49,135.88,boa vista
208,6.93,90,69,MX,1603130819,73.4,19.02,-102.2,boa vista
209,7.56,6,85,CA,1603130693,18.57,65.28,-126.83,boa vista
210,3.51,100,77,CA,1603130617,48.99,43.75,-81.72,boa vista
211,7.29,11,68,UA,1603130819,41.45,50.75,33.47,boa vista
212,3.36,20,55,TN,1603130820,64.4,37.19,10.18,boa vista
213,5.3,22,56,CL,1603130820,64.44,-25.4,-70.48,boa vista
214,1.5,100,99,PG,1603130820,73.09,-6.12,141.29,boa vista
215,3.56,1,72,NC,1603130820,69.57,-20.57,164.28,boa vista
216,6.78,65,28,BR,1603130820,98.2,1.0,-52.0,boa vista
217,2.46,92,44,BR,1603130821,94.51,-3.77,-61.64,boa vista
218,6.58,75,45,CA,1603130821,28.99,49.23,-100.06,boa vista
219,16.11,9,13,MR,1603130536,105.8,18.09,-15.98,boa vista
220,7.0,0,21,AR,1603130821,107.01,-23.81,-64.79,boa vista
221,18.34,40,61,BR,1603130821,80.6,-28.24,-48.67,boa vista
222,6.6,100,81,ID,1603130822,80.26,-2.88,108.27,boa vista
223,4.7,40,41,VE,1603130690,91.4,7.77,-72.22,boa vista
224,4.29,4,59,BJ,1603130822,81.28,9.94,3.21,boa vista
225,4.7,75,48,OM,1603130632,86.0,17.02,54.09,boa vista
226,2.44,42,77,TH,1603130822,80.8,8.35,100.2,boa vista
227,8.5,81,83,SB,1603130758,79.52,-10.45,161.92,boa vista
228,20.4,83,79,GL,1603130823,36.7,72.79,-56.15,boa vista
229,2.24,90,85,US,1603130823,17.6,64.84,-147.72,boa vista
230,6.93,5,68,US,1603130823,72.0,37.55,-121.99,boa vista
231,12.75,64,45,ES,1603130823,68.0,42.25,-2.5,boa vista
232,7.72,3,73,IL,1603130700,80.01,31.61,34.76,boa vista
233,1.86,0,34,IR,1603130824,51.62,37.11,58.51,boa vista
234,26.11,59,83,JP,1603130824,79.03,24.8,125.28,boa vista
235,7.0,100,98,RU,1603130824,32.27,63.87,34.32,boa vista
236,6.71,99,96,RU,1603130377,32.16,61.69,53.69,boa vista
237,8.95,90,92,RU,1603130559,12.2,69.49,88.4,boa vista
238,11.18,7,80,VU,1603130564,72.16,-19.55,169.27,boa vista
239,4.7,0,28,IR,1603130825,55.4,36.07,49.7,boa vista
240,2.53,1,93,RU,1603130825,30.58,48.1,136.1,boa vista
241,4.07,96,97,CA,1603130663,50.0,50.02,-125.24,boa vista
242,10.69,0,12,NE,1603130825,90.91,13.32,12.61,boa vista
243,6.93,40,59,PE,1603130825,89.6,-12.6,-69.18,boa vista
244,17.22,75,78,PF,1603130826,78.8,-17.73,-149.15,boa vista
245,5.99,5,68,MU,1603130623,73.99,-19.98,57.61,boa vista
246,4.47,90,92,RU,1603130727,14.0,66.42,112.4,boa vista
247,3.36,1,18,US,1603130079,64.4,37.1,-113.58,boa vista
248,6.93,33,74,IT,1603130826,44.01,46.46,10.35,boa vista
249,8.05,1,28,US,1603130796,60.01,40.48,-106.83,boa vista
250,6.93,98,98,RU,1603130294,16.23,70.63,147.92,boa vista
251,10.8,3,56,LY,1603130827,71.98,31.21,16.59,boa vista
252,6.71,100,91,RU,1603130582,27.14,69.38,178.42,boa vista
253,13.87,90,82,CL,1603130827,60.8,-23.65,-70.4,boa vista
254,8.95,90,92,RU,1603130827,12.2,69.41,86.18,boa vista
255,3.0,0,77,CN,1603130827,46.99,41.76,86.15,boa vista
256,12.75,20,69,IS,1603130692,39.2,64.25,-15.21,boa vista
257,15.99,67,70,NZ,1603130828,48.0,-46.13,167.68,boa vista
258,8.05,94,72,ID,1603130749,81.37,5.56,95.32,boa vista
259,3.6,0,40,AO,1603130828,73.71,-12.02,17.48,boa vista
260,18.57,4,82,IN,1603130828,79.75,8.08,77.57,boa vista
261,12.75,56,87,NZ,1603130828,55.4,-41.41,175.52,boa vista
262,1.01,0,42,CN,1603130828,51.33,41.12,80.26,boa vista
263,3.89,0,79,RU,1603130829,26.08,50.72,136.63,boa vista
264,9.15,98,74,RU,1603130607,40.8,50.68,156.12,boa vista
265,5.59,0,23,TM,1603130829,65.32,38.44,57.43,boa vista
266,6.46,88,89,CA,1603130829,16.9,68.22,-135.01,boa vista
267,5.82,40,79,CU,1603130829,84.2,22.15,-80.2,boa vista
268,1.68,93,42,TZ,1603130830,78.28,-5.07,32.05,boa vista
269,0.74,0,83,AF,1603130830,28.2,33.35,64.42,boa vista
270,5.01,100,80,CA,1603130830,44.01,50.03,-66.87,boa vista
271,5.77,0,40,CN,1603130830,54.3,38.85,115.49,boa vista
272,9.17,1,30,US,1603130830,57.2,39.6,-110.81,boa vista
273,17.87,93,95,RU,1603130831,23.76,73.51,80.55,boa vista
274,15.95,0,51,MX,1603130831,78.69,30.48,-115.95,boa vista
275,17.22,75,78,PF,1603130831,78.8,-17.53,-149.33,boa vista
276,6.93,73,94,RU,1603130831,33.42,58.95,36.6,boa vista
277,4.7,90,63,US,1603130831,30.2,47.43,-92.94,boa vista
278,7.87,0,82,CN,1603130831,63.0,31.81,121.66,boa vista
279,2.59,99,65,CM,1603130832,68.5,7.37,12.65,boa vista
280,11.32,7,64,PE,1603130624,69.91,-11.1,-77.61,boa vista
281,7.31,18,84,ZA,1603130832,72.93,-28.78,32.04,boa vista
282,7.56,100,95,RU,1603130832,11.39,70.02,135.6,boa vista
283,10.0,100,98,PT,1603130832,64.99,40.16,-8.33,boa vista
284,7.56,86,90,NZ,1603130832,56.41,-35.17,173.17,boa vista
285,2.1,30,94,AU,1603130807,68.0,-16.92,145.77,boa vista
286,5.06,75,74,MX,1603130621,82.4,18.73,-103.68,boa vista
287,2.71,100,80,BR,1603130833,73.24,-16.36,-46.91,boa vista
288,25.37,0,29,AR,1603130833,61.34,-43.3,-65.1,boa vista
289,5.82,20,41,ZA,1603130833,78.8,-23.9,29.47,boa vista
290,4.76,10,94,AU,1603130833,71.6,-12.23,136.77,boa vista
291,24.7,0,66,NA,1603130385,62.01,-26.65,15.16,boa vista
292,9.75,94,76,ID,1603130834,81.07,-6.33,108.32,boa vista
293,12.75,1,64,US,1603130828,77.0,36.21,-86.29,boa vista
294,5.61,0,90,AU,1603130834,45.0,-35.57,138.62,boa vista
295,8.95,90,92,RU,1603130834,30.2,64.56,39.83,boa vista
296,6.93,40,54,CA,1603130834,30.2,50.23,-99.47,boa vista
297,4.72,83,87,PH,1603130834,75.49,17.72,121.9,boa vista
298,2.24,75,100,TH,1603130835,73.4,14.91,105.08,boa vista
299,6.15,96,87,VN,1603130835,77.67,9.29,105.72,boa vista
300,4.14,1,54,ET,1603130835,55.62,12.51,39.52,boa vista
301,7.94,0,9,NE,1603130835,97.47,18.74,7.39,boa vista
302,12.35,95,19,ZA,1603130835,73.56,-30.3,27.08,boa vista
303,8.55,0,30,ER,1603130835,80.15,15.11,37.59,boa vista
304,11.99,100,85,NZ,1603130835,55.0,-39.88,176.63,boa vista
305,17.22,40,70,GD,1603130836,87.8,12.06,-61.75,boa vista
306,5.39,99,83,SL,1603130836,80.4,7.53,-12.51,boa vista
307,16.11,40,58,BR,1603130836,86.0,-5.2,-35.46,boa vista
308,12.97,92,84,IN,1603130836,80.83,11.67,92.75,boa vista
309,4.47,93,65,RU,1603130836,41.0,53.05,158.65,boa vista
310,5.59,0,31,MX,1603130616,90.48,27.32,-112.28,boa vista
311,5.84,78,52,UY,1603130387,81.23,-33.7,-53.46,boa vista
